10,Alzheimer's Research Fund,666,2018-01-18,7550,750.63,Help out researchers.,Medical,https://wesll.com/colonelfund/events_images/666-7763.jpeg,12:00 PM,"{""addressLine1"":""1234 E Main St"",""addressLine2"":"""",""city"":""Mesa"",""state"":""AZ"",""zipCode"":""85203""}"
12,Independence Day BBQ,01,2018-07-04,1000,75.63,Fun BBQ for 388 Dark Knights!,BBQ,Https://wesll.com/colonelfund/events_images/01-3891.jpeg,5:00 PM,"{""addressLine1"":""1234 E Main St"",""addressLine2"":"""",""city"":""Mesa"",""state"":""AZ"",""zipCode"":""85203""}"
9,John's Chemo Fund,1532,2018-03-20,5000,1075.63,Help me pay my medical bills!,Medical,https://wesll.com/colonelfund/events_images/1532-1801.jpeg,9:00 AM,"{""addressLine1"":""1234 E Main St"",""addressLine2"":"""",""city"":""Mesa"",""state"":""AZ"",""zipCode"":""85203""}"
16,Liam's house fire help,9351,2018-05-20,7500,2735.63,Help an unfortunate friend out.,Emergency,https://wesll.com/colonelfund/events_images/9351-2234.jpeg,2:22 AM,"{""addressLine1"":""1234 E Main St"",""addressLine2"":"""",""city"":""Mesa"",""state"":""AZ"",""zipCode"":""85203""}"
13,Paul's MS Donations,666,2018-05-14,8367.53,7505.63,Help me fund my MS bills.,Medical,https://wesll.com/colonelfund/events_images/666-8281.jpeg,12:00 PM,"{""addressLine1"":""1234 E Main St"",""addressLine2"":"""",""city"":""Mesa"",""state"":""AZ"",""zipCode"":""85203""}"
15,Mrs. Cobain's Widow Help,9351,2018-02-05,3500,2735.63,Help out a Widow.,Unknown,https://wesll.com/colonelfund/events_images/9351-4918.jpeg,2:22 AM,"{""addressLine1"":""1234 E Main St"",""addressLine2"":"""",""city"":""Mesa"",""state"":""AZ"",""zipCode"":""85203""}"
19,Mrs. Cobain's birthday,01,2018-05-20,1500,25.01,Support a widows birthday party.,Party,https://wesll.com/colonelfund/events_images/01-8160.jpeg,5:00 PM,"{""addressLine1"":""1234 E Main St"",""addressLine2"":"""",""city"":""Mesa"",""state"":""AZ"",""zipCode"":""85203""}"
45,Chicken Dinner Fund,01,2018-04-09,1000,0,Sponsor my chicken dinners,pwn,https://wesll.com/colonelfund/events_images/01-9482.jpeg,9:00 AM,"{""addressLine1"":""1234 E Main St"",""addressLine2"":"""",""city"":""Mesa"",""state"":""AZ"",""zipCode"":""85203""}"
44,Grad Party,666,2018-05-07,666.66,0,"When we're done, we'll have some fun. It's true because it rhymes",Party,https://wesll.com/colonelfund/events_images/666-8821.jpeg,12:00 PM,"{""addressLine1"":""1234 E Main St"",""addressLine2"":"""",""city"":""Mesa"",""state"":""AZ"",""zipCode"":""85203""}"
56,Drew's New Shoes,9351,2018-04-15,50,0,New shoes to keep me running,BBQ,https://wesll.com/colonelfund/events_images/default.jpeg,2:22 AM,"{""addressLine1"":""1234 E Main St"",""addressLine2"":"""",""city"":""Mesa"",""state"":""AZ"",""zipCode"":""85203""}"
92,Job Hunt,76194,2018-04-18,1000,0,Letâ€™s find Chris a job,Party,https://wesll.com/colonelfund/events_images/76194-3913.jpeg,5:00 PM,"{""addressLine1"":""1234 E Main St"",""addressLine2"":"""",""city"":""Mesa"",""state"":""AZ"",""zipCode"":""85203""}"
94,BBQ Study,01,2018-04-30,200,0,Letâ€™s study and eat,Party,https://wesll.com/colonelfund/events_images/01-3998.jpeg,9:00 AM,"{""addressLine1"":""1234 E Main St"",""addressLine2"":"""",""city"":""Mesa"",""state"":""AZ"",""zipCode"":""85203""}"
95,Fix Bobby,666,2018-05-01,5000,0,Bobby broke a lot of things and needs money for bills,Medical,https://wesll.com/colonelfund/events_images/666-3570.jpeg,5:22 pm,"{""addressLine1"":""1234 E Main St"",""addressLine2"":"""",""city"":""Mesa"",""state"":""AZ"",""zipCode"":""85203""}"
98,Billpay,01,2018-03-28,5000,0,Need money for bills.,Emergency,https://wesll.com/colonelfund/events_images/01-1822.jpeg,10:00 AM,"{""addressLine1"":""1234 E Main St"",""addressLine2"":"""",""city"":""Mesa"",""state"":""AZ"",""zipCode"":""85203""}"
112,Hot Dog Event,01,2018-04-30,100,0,Squadron is having a hot dog party,BBQ,https://wesll.com/colonelfund/events_images/default.jpeg,2:22 AM,"{""addressLine1"":""1234 E Main St"",""addressLine2"":"""",""city"":""Mesa"",""state"":""AZ"",""zipCode"":""85203""}"
